job_role,salary_usd,salary_percentile,skill_demand_score,hiring_difficulty_score
Machine Learning Engineer,28000,58,12,56.6657310788852
AI Engineer,60576,13,4,31.350493756407207
AI Engineer,150533,54,7,54.32727052362497
Software Engineer AI,44892,65,70,68.03938848580353
Machine Learning Engineer,107180,81,90,2.5538960431904982
Data Scientist,70233,51,40,100.0
Computer Vision Engineer,113578,56,16,61.35629028396178
Software Engineer AI,71005,50,47,70.93416669380184
AI Engineer,34067,41,47,61.16208102081319
Research Scientist,89054,34,34,41.35092276002338
Computer Vision Engineer,84151,57,23,27.12487062045256
Machine Learning Engineer,80409,17,60,61.63719665171536
Machine Learning Engineer,29906,83,17,32.80116112665622
Computer Vision Engineer,212783,8,56,62.22809095097894
Data Scientist,95334,82,33,68.35875047877623
Research Scientist,79593,85,20,49.8259446507936
Software Engineer AI,40940,82,54,42.06101702304285
Computer Vision Engineer,132387,54,21,44.12834873255387
Computer Vision Engineer,96041,98,52,43.317033032289295
NLP Engineer,39722,64,64,58.18993813129034
NLP Engineer,97173,98,65,15.66465674797169
Research Scientist,72435,66,26,39.21525188589422
AI Engineer,81836,42,66,24.00448664561105
Computer Vision Engineer,64687,61,4,63.84173797741593
Data Analyst,38132,32,19,53.216302595657154
Machine Learning Engineer,111078,100,53,34.22147197180628
Computer Vision Engineer,35525,23,49,33.45780436432639
Software Engineer AI,82744,99,29,51.47187699750957
NLP Engineer,95632,96,84,80.97921196537496
Data Analyst,57593,7,31,76.28021252088968
Data Analyst,62737,21,1,48.20401618463872
Computer Vision Engineer,163590,69,74,74.24127163495248
AI Engineer,94770,39,5,46.728119059088385
Software Engineer AI,71773,31,34,45.64120177913428
Research Scientist,99954,18,29,50.99545185799122
Data Scientist,143180,88,98,62.995569891232094
Data Scientist,109722,8,66,34.1862919779764
Data Scientist,176128,1,51,54.54275588659135
Data Analyst,46711,53,5,44.11608278508612
Data Scientist,167396,45,18,30.55005848422427
Data Scientist,158489,49,55,50.2813874103777
Data Analyst,104512,3,79,54.31347846205032
Computer Vision Engineer,118204,77,41,55.00335996342952
Software Engineer AI,66330,23,76,55.39967082176746
Computer Vision Engineer,102829,18,72,76.65486133970664
AI Engineer,56254,95,28,53.405577445245974
Computer Vision Engineer,79411,84,60,58.641882667914544
Research Scientist,41133,41,27,57.295763098669184
AI Engineer,83624,65,2,45.03362064346605
Software Engineer AI,67816,3,53,78.09652549536546
Research Scientist,111260,80,31,64.24388245034693
Research Scientist,109750,39,90,57.19266470394744
Machine Learning Engineer,58446,22,2,53.16903954004519
Computer Vision Engineer,216227,6,61,89.91979104657403
Data Analyst,66178,7,96,82.09981345430491
NLP Engineer,166833,20,11,100.0
Machine Learning Engineer,70791,77,12,26.546485288430052
Data Scientist,79967,39,36,36.81599676198661
Software Engineer AI,151255,89,42,38.92861646420084
NLP Engineer,122890,47,70,78.01522998492065
Machine Learning Engineer,68627,43,52,49.38576430404018
Machine Learning Engineer,64300,29,89,58.21579865823243
Software Engineer AI,124305,15,54,53.47324585612463
Data Scientist,136043,93,13,64.66888902629721
Computer Vision Engineer,134244,95,87,94.79603787041408
Data Scientist,67364,85,24,37.13399895225017
Machine Learning Engineer,63570,68,86,46.87906203992266
Machine Learning Engineer,34712,54,66,65.0603073009549
Data Scientist,60775,37,22,25.23552191875299
Computer Vision Engineer,142578,38,98,84.24710280378714
Research Scientist,104035,39,97,66.64618655888495
Computer Vision Engineer,132154,91,89,40.506908468628225
NLP Engineer,42897,69,36,47.48625312419022
Data Scientist,106791,62,89,23.11845102721246
Data Analyst,100766,18,100,35.99888550490529
Data Scientist,53511,81,93,19.41272246961359
Data Scientist,140703,45,94,75.37258290187762
Software Engineer AI,109419,89,37,38.28743145324006
Research Scientist,121297,15,64,30.2488680714632
Computer Vision Engineer,81965,88,47,51.386771475964146
Computer Vision Engineer,65741,37,51,57.83958768088482
NLP Engineer,132054,69,27,45.24782677509767
NLP Engineer,30440,78,59,57.0038769731136
Software Engineer AI,82753,74,34,47.930727469807735
Machine Learning Engineer,150838,99,21,100.0
Machine Learning Engineer,96563,23,50,42.98887476178694
NLP Engineer,105229,87,16,48.06333998828372
Data Scientist,91009,59,12,50.49804773807814
Data Analyst,60738,98,43,37.340133148904755
NLP Engineer,119500,30,12,10.511921650343304
NLP Engineer,161323,8,76,82.14422092821599
Data Scientist,90126,30,58,32.13316951824872
Data Analyst,76084,69,53,86.3627695246457
AI Engineer,75326,28,23,37.14321590601159
NLP Engineer,147485,4,35,94.82303147663816
Data Analyst,28000,85,13,27.513260905231775
Research Scientist,57605,90,41,61.49774948566747
AI Engineer,47101,5,23,65.76994312854137
Software Engineer AI,75174,1,23,11.365288893328495
NLP Engineer,67824,43,64,66.87459585875438
Machine Learning Engineer,95704,34,58,63.21704203302032
Software Engineer AI,151665,34,3,76.31177397754401
Machine Learning Engineer,129561,91,79,50.00475486051579
NLP Engineer,121815,71,53,54.643701798627255
Research Scientist,104645,47,20,45.59670789539731
NLP Engineer,97668,11,82,47.94080170238183
Data Scientist,28000,56,11,48.110843261288
Data Scientist,125030,59,36,46.396062422440146
NLP Engineer,103581,13,73,60.786962245984725
Research Scientist,149452,78,94,42.6571880111981
Data Analyst,35258,58,63,93.14155264452576
Computer Vision Engineer,129082,100,21,38.86592135760145
Data Analyst,53285,23,17,59.83468445879736
NLP Engineer,69569,14,39,44.20321490949289
Machine Learning Engineer,98574,67,25,39.984672722812775
AI Engineer,155816,5,50,48.01663055966586
Data Analyst,32112,13,24,56.47579864884495
NLP Engineer,88564,41,59,79.95354883893098
Data Scientist,52135,98,36,73.53713642583642
Software Engineer AI,65562,45,29,64.29663064687955
Data Scientist,52684,67,59,68.43107772215689
Data Analyst,37573,33,49,43.74550431793207
AI Engineer,93412,61,71,35.921351695728504
Data Scientist,89838,18,78,68.91401672882895
NLP Engineer,99098,86,1,63.252576365055376
Machine Learning Engineer,161696,60,38,46.79479227105483
Machine Learning Engineer,103735,2,98,69.20516905210816
Data Scientist,113253,59,52,46.66484900378768
NLP Engineer,114073,76,14,39.6502810257944
Computer Vision Engineer,78853,15,62,66.29124162313835
Computer Vision Engineer,68111,29,93,57.04220872101794
Software Engineer AI,52589,79,20,72.2586935164181
AI Engineer,102840,7,43,48.01823592647555
Data Analyst,160706,41,64,52.414128461851874
Computer Vision Engineer,74333,82,78,71.17047223024574
Software Engineer AI,135515,48,71,78.77668294651585
Computer Vision Engineer,94257,59,99,34.767528674849046
Data Scientist,109214,89,100,87.77617616420835
Data Scientist,49182,44,36,46.69831713497979
Computer Vision Engineer,96873,26,81,49.97790495917267
Research Scientist,223295,97,26,82.72794231598012
Data Analyst,106014,2,71,93.57412698252838
Research Scientist,84410,93,26,81.45611665817492
Research Scientist,122666,42,6,26.77340235843909
AI Engineer,47346,9,24,59.63056158000703
Data Scientist,164230,38,43,61.94349942727051
Computer Vision Engineer,82386,42,6,23.402117848407222
Machine Learning Engineer,172203,6,58,47.55837212854406
Data Analyst,85283,86,9,55.36337971377205
Data Analyst,85719,43,59,37.664827958586784
Machine Learning Engineer,90362,58,53,51.996917594714304
NLP Engineer,137800,96,9,44.64841983772807
NLP Engineer,61486,39,82,100.0
Software Engineer AI,50128,71,51,28.51599686824388
Research Scientist,110243,25,79,49.56344158991026
Data Scientist,62367,75,26,55.29017615429178
Software Engineer AI,104510,43,63,54.79418950061721
Research Scientist,50613,92,32,34.8415325973535
NLP Engineer,88204,14,63,74.60222053199577
NLP Engineer,111265,29,47,85.76572877835333
Research Scientist,57757,22,79,46.018879772933474
Data Scientist,210336,34,30,5.932560698209436
Data Analyst,28000,14,84,70.54968987193612
Research Scientist,155811,67,84,74.7675301283814
Data Scientist,125914,52,24,64.4911577144551
AI Engineer,45173,19,53,75.90895864582848
Data Scientist,45545,14,50,36.29982625682509
Data Analyst,142570,97,69,76.09755092048492
NLP Engineer,127653,27,49,34.41988462448021
AI Engineer,74691,29,9,45.77415256618713
Machine Learning Engineer,31300,26,57,43.89259223421213
Research Scientist,107331,1,31,64.56998072689471
Machine Learning Engineer,141520,9,95,45.91549558458016
Research Scientist,148433,23,1,57.31264959253183
Computer Vision Engineer,90865,82,9,58.98781403021909
Data Analyst,61939,44,87,77.11941790361007
Data Analyst,73482,87,16,28.266649071401226
Research Scientist,193187,45,5,48.54873564076801
Data Analyst,128705,30,74,51.31185945048432
Research Scientist,86943,54,2,18.531733639923814
Data Scientist,101095,8,89,66.2230295365694
Research Scientist,168189,3,33,92.76459613801828
Machine Learning Engineer,109865,95,63,62.76536140539384
Machine Learning Engineer,83593,51,78,48.10332558293481
Computer Vision Engineer,94689,85,94,54.489882783403715
Machine Learning Engineer,86823,37,32,39.99523090660469
Data Scientist,63420,35,60,29.23144732512307
Software Engineer AI,143842,30,38,33.43783607690313
Software Engineer AI,114816,29,50,44.907879434429205
Machine Learning Engineer,166464,9,53,60.49000981377512
Data Scientist,94819,20,42,48.082145916542096
AI Engineer,128947,20,30,62.930930625458906
Computer Vision Engineer,105992,97,43,26.692524734207424
NLP Engineer,185812,88,61,57.54163262480243
Machine Learning Engineer,76181,6,32,53.55079268495366
Computer Vision Engineer,39617,81,44,27.94515653156535
AI Engineer,165538,45,83,28.742348934447516
Computer Vision Engineer,95683,9,71,75.52450994808169
Data Scientist,188602,3,94,25.8909059791802
Software Engineer AI,43258,37,20,100.0
NLP Engineer,38975,25,14,55.968407860155246
AI Engineer,181346,84,2,29.038603205612414
Machine Learning Engineer,138066,94,68,52.13213855409515
Research Scientist,77611,68,25,65.16566547983973
Data Analyst,55726,55,90,74.22838749241316
Data Scientist,83234,42,41,56.6799622496396
NLP Engineer,66326,47,96,58.881666726579866
Software Engineer AI,62041,47,18,48.198997559211904
Data Analyst,33462,62,93,56.701897341811424
Computer Vision Engineer,64198,54,45,48.14607313707215
Data Analyst,46112,65,20,73.24289494223908
Data Analyst,64080,55,86,24.136443973235988
Data Analyst,60768,2,19,67.92850481507543
Computer Vision Engineer,90785,35,90,77.14828085967956
Machine Learning Engineer,119270,6,92,57.72083941456494
Research Scientist,115663,31,81,64.82931709254882
Research Scientist,94335,18,51,49.906427014346505
NLP Engineer,86069,27,70,49.606885919606334
Data Scientist,80920,72,41,59.7525220251279
Machine Learning Engineer,104283,95,96,34.45901531812632
Data Analyst,30831,48,92,81.49848090697213
NLP Engineer,204402,29,35,57.96104662078311
Data Analyst,63761,52,32,62.474414217821085
NLP Engineer,123469,69,32,57.442423157298165
AI Engineer,67470,53,18,42.27995612668347
Computer Vision Engineer,28000,92,92,73.14440301489422
Machine Learning Engineer,78211,49,79,49.80505545997244
AI Engineer,161597,32,77,60.989688615466186
Research Scientist,67561,89,79,50.9436732692044
Data Scientist,170109,55,9,52.202396214500325
Machine Learning Engineer,113738,27,27,88.032577451023
Software Engineer AI,73487,30,24,48.71781521263533
Research Scientist,89503,53,79,38.79709779682357
Software Engineer AI,164290,65,40,80.37784308912457
Software Engineer AI,72666,43,23,46.4132068163637
Computer Vision Engineer,57558,96,60,56.86405250495178
Research Scientist,208336,36,9,40.52640668943668
Machine Learning Engineer,135560,40,74,35.811309468062916
Data Analyst,76206,21,35,36.78504496273135
Machine Learning Engineer,55544,91,35,49.913499103894296
Software Engineer AI,59247,40,13,60.84606869398206
Data Analyst,66890,73,56,46.82899190911545
Data Scientist,69331,27,58,92.52969568387572
AI Engineer,108119,90,31,69.8943004231549
NLP Engineer,74093,25,61,31.716061376622196
NLP Engineer,119379,93,3,43.70427995060669
NLP Engineer,78883,66,24,93.81429337112738
Computer Vision Engineer,190318,92,94,62.33841526306919
Research Scientist,184099,62,15,29.32031420541375
Computer Vision Engineer,100105,10,17,50.09986208134255
Computer Vision Engineer,85057,77,11,65.67856415700057
AI Engineer,82147,91,49,29.725187686889523
Software Engineer AI,150396,60,75,35.39183252118209
Data Analyst,65155,53,9,62.5112548032632
Machine Learning Engineer,161352,77,12,50.63588668977223
Data Analyst,48171,24,15,46.64579209458485
Research Scientist,141182,10,21,74.74998393409285
AI Engineer,167610,79,63,53.93896239665883
Data Scientist,174687,14,92,41.347042235683354
Machine Learning Engineer,79005,86,1,73.31616013054713
Data Analyst,44191,81,52,63.84075077616039
Machine Learning Engineer,131892,50,71,55.59246036390621
Data Analyst,86219,25,18,61.67363605981976
Data Analyst,187197,44,44,68.07126377791604
Computer Vision Engineer,57523,7,23,39.83477338046629
Machine Learning Engineer,129822,26,29,87.19274382360874
Software Engineer AI,194897,16,43,23.815097290588103
Data Scientist,141044,79,13,36.440091040703265
Data Scientist,55563,54,76,59.204711462708374
Computer Vision Engineer,88691,5,79,54.98904731819879
Data Scientist,84632,68,25,43.07155329721536
Data Scientist,95298,54,75,57.13030118179319
Software Engineer AI,110298,60,18,48.60894552163122
NLP Engineer,91158,30,74,76.77948223005316
NLP Engineer,136331,32,95,75.6549864384133
NLP Engineer,42828,68,5,57.13227187730597
Computer Vision Engineer,68080,46,28,55.32904154365878
Machine Learning Engineer,40187,15,22,67.82507995765889
Data Scientist,141039,54,61,84.32773331394901
Software Engineer AI,147430,30,22,33.65341121463659
Data Scientist,86888,24,34,87.27605789693493
AI Engineer,104669,52,16,63.32534631265741
Data Scientist,131478,97,61,75.18049021018632
Data Analyst,72440,99,68,69.2241449622243
Data Analyst,41083,78,41,45.3117316586538
Machine Learning Engineer,91914,77,18,94.76896826625254
Data Scientist,120696,75,6,70.77772922126145
Research Scientist,136978,47,77,44.26186726747625
Computer Vision Engineer,72736,75,34,66.87874665509295
Data Scientist,160015,7,82,48.260979402275545
Research Scientist,72199,39,41,49.85764213433926
Software Engineer AI,50027,63,48,66.87729301788217
Machine Learning Engineer,120636,18,89,60.39409559208267
Software Engineer AI,75081,27,40,49.8736799803462
Data Analyst,37667,65,46,55.01007986211451
Data Analyst,39110,69,22,63.157994241092155
Machine Learning Engineer,123640,49,24,47.260154644932896
Data Analyst,65553,47,64,61.579420648771205
Research Scientist,70785,88,95,30.384032387481646
Machine Learning Engineer,148022,22,14,45.73121746633833
Software Engineer AI,89722,92,36,13.27239836652072
Research Scientist,99837,33,14,43.25920294414034
Computer Vision Engineer,136794,79,76,38.59978794633811
Software Engineer AI,141127,83,32,42.57929285213288
Machine Learning Engineer,62322,55,59,68.63552450575506
NLP Engineer,67970,63,74,53.55027415675053
Data Analyst,99108,82,26,50.00286341554268
Data Analyst,90306,13,92,73.19913558207223
Software Engineer AI,52430,39,39,74.39488860063096
Computer Vision Engineer,44069,35,27,48.63791748250235
Data Scientist,105777,60,32,20.682042816685552
NLP Engineer,128585,23,85,35.214560361948905
NLP Engineer,102392,31,64,63.7011870302432
Machine Learning Engineer,68745,36,23,59.18366259275265
NLP Engineer,147371,61,70,49.34001177464267
Research Scientist,97488,65,90,43.66730382645164
Software Engineer AI,127765,81,83,39.76483049600162
Data Scientist,77246,92,32,32.94037500013176
Data Scientist,142795,26,42,56.22772208685105
NLP Engineer,124303,81,83,53.56271523721967
Machine Learning Engineer,160110,12,34,54.9913830747669
Data Scientist,29187,25,92,45.16901012407565
Research Scientist,187383,53,54,65.7670987060263
Data Scientist,110930,8,13,30.547989664664907
Software Engineer AI,105575,86,39,52.11245601970559
Data Scientist,28599,41,17,38.35735238899433
Research Scientist,63508,25,57,59.26428333415579
AI Engineer,78905,6,15,93.37934200251482
Software Engineer AI,131568,22,37,68.00149870808931
Research Scientist,81929,37,43,58.82907018145213
Data Analyst,69358,88,95,44.64051096634241
Data Scientist,70078,55,73,45.839726488137295
NLP Engineer,106991,29,60,41.13363923683122
Research Scientist,95800,66,66,85.87187297818897
NLP Engineer,75707,95,3,57.0917354404564
Computer Vision Engineer,87014,56,87,70.81776930987917
Data Analyst,63459,99,12,89.3612753427774
Data Scientist,151514,3,63,32.303599557817314
Research Scientist,73574,8,30,56.00237602727016
AI Engineer,141163,83,64,46.88609728071928
Computer Vision Engineer,75481,76,65,82.09578735950615
Software Engineer AI,120629,80,61,91.94480071834415
Data Analyst,44648,44,5,52.24092977139596
Machine Learning Engineer,100015,35,99,64.14938319069653
Data Scientist,30048,11,65,55.36903112861803
Software Engineer AI,136951,59,53,75.85600642014343
AI Engineer,161757,96,39,47.132661109969995
Software Engineer AI,31611,84,80,57.99446660850368
NLP Engineer,61702,39,16,51.72923094351755
AI Engineer,80735,92,87,12.462776901257849
Data Analyst,61872,12,53,97.31775908322288
NLP Engineer,120486,67,76,63.44389305818342
Research Scientist,188991,59,63,31.23215269019911
Machine Learning Engineer,84240,16,53,48.5224225519642
Research Scientist,33527,19,63,72.55604322799768
NLP Engineer,167350,18,17,79.70102044203836
Computer Vision Engineer,165010,51,50,22.39048275186903
AI Engineer,72640,16,72,57.04763830264499
Machine Learning Engineer,59425,85,3,43.49682400902371
Data Scientist,58235,76,42,55.760735169369624
AI Engineer,60847,7,49,99.30374908553904
Data Analyst,65233,9,71,75.78508095523365
AI Engineer,173001,84,98,31.054044646959337
Research Scientist,178380,72,69,53.27037683204675
AI Engineer,69585,88,77,56.12131416236907
Software Engineer AI,80647,12,9,37.938688756073354
Machine Learning Engineer,98855,97,82,42.25172253023658
Computer Vision Engineer,103945,83,89,24.435419059372997
Computer Vision Engineer,96671,84,69,42.036043920700635
Machine Learning Engineer,68172,2,99,82.25326921698883
Computer Vision Engineer,122697,79,25,64.1628126063486
Research Scientist,88083,26,27,22.856656924967268
NLP Engineer,71743,78,87,27.925326442936377
Data Scientist,30074,25,94,58.04925534841725
AI Engineer,109503,53,42,47.4003876735146
Machine Learning Engineer,151213,1,58,56.663580652106255
Data Analyst,81768,43,26,52.9997792768742
Machine Learning Engineer,79377,61,32,56.79537101461312
Software Engineer AI,60926,75,81,58.62449491632074
Machine Learning Engineer,76070,81,39,73.3869097553339
Machine Learning Engineer,77791,30,97,53.37401850081715
AI Engineer,79725,59,87,39.78699403887931
Software Engineer AI,114456,2,38,79.19981034549409
Data Scientist,81760,44,26,78.7157347423132
Computer Vision Engineer,118522,6,14,69.38643623531041
Data Analyst,53364,27,95,85.02036279408127
Data Scientist,74307,25,38,70.6610839043347
Data Analyst,40463,27,15,17.43275357722871
Computer Vision Engineer,79079,17,16,82.29319211000825
Data Analyst,117159,20,69,30.60845081604989
Data Analyst,28000,66,9,79.98338051152061
Software Engineer AI,134427,61,92,18.202051428380656
NLP Engineer,54559,74,55,82.83517636941693
Software Engineer AI,108249,6,30,74.62439710584516
Data Analyst,88465,30,11,54.281722391397054
Research Scientist,82294,97,52,60.40315088712138
AI Engineer,156375,67,61,40.224898740694755
Software Engineer AI,97045,55,29,55.42093225281126
NLP Engineer,108314,78,73,52.27661728414527
NLP Engineer,72372,58,43,57.330039565853994
Research Scientist,122688,53,22,2.5875289950892153
Computer Vision Engineer,71021,1,36,41.98910265750568
Machine Learning Engineer,117328,94,23,97.85784680810814
Machine Learning Engineer,87880,22,53,64.35079973466422
Data Analyst,49515,5,25,72.34966934198931
Research Scientist,97824,92,85,63.263441053042655
Data Scientist,137934,95,16,65.97266421171561
Data Scientist,69481,28,87,30.39752088797529
AI Engineer,72383,32,99,61.392299042865105
Data Scientist,72673,70,80,74.58994148894028
NLP Engineer,62477,2,84,58.26660187382301
Data Analyst,44742,8,80,60.22327092235622
Software Engineer AI,168624,57,93,29.24260424317548
Software Engineer AI,80157,43,30,29.788217044427675
Data Analyst,28000,81,24,50.06886001497485
Machine Learning Engineer,175207,27,76,64.2412786271312
Machine Learning Engineer,172680,37,32,34.780128745514546
Computer Vision Engineer,47284,65,57,35.684939455961036
NLP Engineer,49863,94,20,69.32261642362411
Computer Vision Engineer,74587,54,63,16.459557112541695
Software Engineer AI,163724,98,21,66.5532808112254
Research Scientist,97565,5,32,26.168014988661337
AI Engineer,33598,2,85,38.10816379436669
Machine Learning Engineer,175690,39,33,66.91059876227071
NLP Engineer,129153,90,96,71.099449046824
AI Engineer,73672,94,84,50.50394226671286
Data Scientist,86687,28,58,85.09224501486312
Data Analyst,40135,11,82,57.91204440437781
Machine Learning Engineer,167590,98,63,66.97710096428348
Machine Learning Engineer,142693,64,5,34.943979533714256
Machine Learning Engineer,65850,86,86,47.14087760927113
Data Scientist,166671,96,49,84.17029755217033
NLP Engineer,163765,76,44,74.91628365066069
Machine Learning Engineer,93921,25,76,44.11043637930199
Computer Vision Engineer,186815,40,77,65.79358553305063
Computer Vision Engineer,97279,51,90,41.534707522209985
Data Scientist,109649,62,57,53.26789188730257
AI Engineer,73822,20,76,50.962267631970235
NLP Engineer,92367,96,23,58.471654176966375
Machine Learning Engineer,122263,83,16,85.59699424774813
Data Analyst,50156,62,24,48.44620161712534
NLP Engineer,108602,3,52,35.089616276460845
Computer Vision Engineer,67798,1,89,70.52616273994879
Computer Vision Engineer,130581,97,72,67.18023918607604
Machine Learning Engineer,99385,6,32,41.62099459315104
Research Scientist,185744,89,66,100.0
Data Scientist,164980,33,59,64.11068661119063
NLP Engineer,65895,73,92,59.61421638785016
NLP Engineer,74401,49,2,58.822841548422815
Research Scientist,91014,52,71,44.07714384784482
Research Scientist,58199,74,12,49.47962254521802
Machine Learning Engineer,162161,66,62,38.85363690856349
Machine Learning Engineer,187079,32,96,49.72253040274521
AI Engineer,158787,55,46,36.904960281044495
NLP Engineer,96524,34,62,50.449252324098865
Research Scientist,64749,26,56,69.69682616636675
Data Scientist,140896,39,51,79.44012193704529
Software Engineer AI,110071,86,5,80.08688015952627
Computer Vision Engineer,98029,98,42,62.994736374779166
NLP Engineer,105259,31,99,29.602582194646928
Software Engineer AI,179148,32,98,48.84555330031008
Data Scientist,37214,91,26,77.17408912382038
Data Scientist,97366,55,25,85.75496728150338
Data Analyst,52472,55,29,72.41908034502674
Software Engineer AI,147948,47,47,43.83524265998179
Software Engineer AI,76239,76,16,32.96394984959955
Data Analyst,61298,69,98,40.98268872335525
Data Scientist,53444,81,47,76.2403476285275
Machine Learning Engineer,183106,17,36,54.69091410541223
NLP Engineer,132386,2,76,99.75469057981884
Computer Vision Engineer,136581,31,6,45.72557700927005
AI Engineer,75084,84,15,39.642073873446165
Software Engineer AI,42348,2,8,81.56439905648276
Data Analyst,95316,94,58,65.0766117147537
Data Scientist,110554,10,9,40.71720261015361
Data Analyst,114136,2,3,71.41264468427443
AI Engineer,86139,95,14,69.19298105231836
Machine Learning Engineer,36717,70,32,49.75602388975096
Research Scientist,77584,29,19,77.61198419994446
Data Analyst,164277,15,63,30.0213649235603
Machine Learning Engineer,126591,55,20,38.51442078875952
Software Engineer AI,95660,48,64,42.97009063477133
Software Engineer AI,73015,30,69,56.89838238832802
Machine Learning Engineer,166048,72,3,47.3061163305905
Data Scientist,71373,27,54,62.76148082916361
Data Scientist,88938,2,83,64.58736041878714
AI Engineer,40108,22,52,77.63539750098758
Software Engineer AI,209485,37,4,56.71269288985853
Machine Learning Engineer,66932,35,5,80.93733528381745
AI Engineer,204479,25,51,71.05619272423513
NLP Engineer,45804,4,100,60.5191561656746
NLP Engineer,99715,92,81,72.79346988365396
Machine Learning Engineer,108930,6,73,44.57576724156013
Research Scientist,64857,88,48,68.96615588184638
Computer Vision Engineer,148082,49,14,44.33574023589837
NLP Engineer,71059,14,69,64.46295650596703
Data Scientist,57823,28,78,49.138062016312
Computer Vision Engineer,59539,73,28,40.671757842700046
NLP Engineer,95028,82,35,60.56461049455349
Machine Learning Engineer,70925,86,68,60.62300094612995
